Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,Review Score,MaxPlayers,Online,Multiplatform,SubGenres,AgeRating
X360,Disney/Pixar Cars,0.2,2006,THQ,"Action, Racing / Driving",0,0,16.95,65,2,0,1,Action|Racing|FirstPerson|ThirdPerson,E
Sony PSP,Thrillville,0.2,2006,Atari,"Simulation, Strategy",0,0,14.95,72,1,1,1,Simulation|Strategy|Boardgame|Managerial|RealTime|FirstPerson|ThirdPerson,Unknown
X360,The Godfather: The Game,0.2,2006,EA,Action,0,0,17.95,77,1,0,1,Action|ThirdPerson,M
Nintendo Wii,Rampage: Total Destruction,0.19,2006,Midway,Action,1,0,16.95,46,4,0,1,Action|Arcade|SideScrolling|ThirdPerson,Unknown
X360,College Hoops 2K7,0.19,2006,2K,Sports,1,0,6.95,82,4,1,1,Sports|Basketball|ThirdPerson,E
X360,Far Cry: Instincts - Predator,0.19,2006,Ubisoft,Action,1,0,17.95,78,4,1,0,Action|Shooter|Stealth|FirstPerson,M
X360,Full Auto,0.19,2006,Sega,"Action, Racing / Driving",0,0,16.95,70,2,1,0,Action|Racing|ThirdPerson,T
Nintendo DS,Age of Empires: The Age of Kings,0.19,2006,"Majesco Entertainment Company, Majesco Europe Ltd.",Strategy,1,0,17.95,80,1,0,0,Strategy|HistoricalBattle|TurnBased|Isometric,Unknown
Nintendo DS,Need for Speed: Carbon - Own the City,0.19,2006,EA,"Action, Racing / Driving",1,0,14.95,70,1,0,1,Action|Racing|ThirdPerson,E
Sony PSP,Brothers in Arms: D-Day,0.19,2006,Ubisoft,Action,1,0,6.95,65,1,1,0,Action|HistoricalBattle|Shooter|FirstPerson|ThirdPerson,M
Sony PSP,Family Guy Video Game!,0.19,2006,2K,Action,0,0,19.95,51,1,0,1,Action|Fighting|Puzzle|Shooter|Stealth|Platform|ThirdPerson,M
X360,Superman Returns,0.19,2006,EA,Action,0,0,7.95,51,1,0,1,Action|Comics|Fighting|SciFi|ThirdPerson,T
X360,Over G Fighters,0.18,2006,Ubisoft,Simulation,0,0,17.95,49,2,1,0,Simulation|Flight|FirstPerson|ThirdPerson,T
X360,Final Fantasy XI Online,0.18,2006,SquareEnix,"Action, Role-Playing (RPG)",1,0,4.95,66,1,1,0,Action|RPG|PersistentUniverse|ThirdPerson,T
Nintendo DS,Mystery Dungeon: Shiren the Wanderer,0.17,2006,Sega,"Action, Role-Playing (RPG)",0,0,17.95,69,1,0,0,Action|RPG|MedievalFantasy|TurnBased|TopDown,E
Nintendo DS,Phoenix Wright: Ace Attorney - Justice for All,0.17,2006,Capcom,"Adventure, Simulation",1,0,13.95,76,1,0,0,Adventure|Simulation|Anime|Detective|Puzzle|FirstPerson,T
Sony PSP,Justice League Heroes,0.17,2006,Warner Bros. Interactive Entertainment Inc.,Action,0,0,17.95,72,1,0,1,Action|Comics|Fighting|SciFi|TopDown|ThirdPerson,T
Sony PSP,Valhalla Knights,0.17,2006,"Marvelous Interactive, Inc., XSEED Games","Action, Role-Playing (RPG)",0,0,16.95,53,1,0,0,Action|RPG|MedievalFantasy|RealTime|ThirdPerson,Unknown
PlayStation 3,Genji: Days of the Blade,0.17,2006,Sony,"Action, Role-Playing (RPG)",1,0,14.95,55,1,0,0,Action|RPG|MedievalFantasy|ThirdPerson,T
X360,Top Spin 2,0.16,2006,2K,Sports,1,0,12.95,75,4,1,0,Sports|Tennis|ThirdPerson,E
Sony PSP,Field Commander,0.16,2006,Sony,Strategy,0,0,14.95,77,2,1,0,Strategy|ThirdPerson,T
Nintendo DS,Children of Mana,0.16,2006,Nintendo,"Action, Role-Playing (RPG)",1,0,16.95,65,1,0,0,Action|RPG|Anime|MedievalFantasy|TopDown|ThirdPerson,Unknown
Sony PSP,Valkyrie Profile: Lenneth,0.16,2006,SquareEnix,Role-Playing (RPG),1,0,22.95,80,1,0,0,RPG|Anime|MedievalFantasy|TurnBased|SideScrolling|ThirdPerson,T
Nintendo DS,Brain Boost: Beta Wave,0.15,2006,Majesco Entertainment Company,Simulation,0,0,12.95,39,1,0,0,Simulation|MentalTraining,E
Nintendo DS,Brain Boost: Gamma Wave,0.15,2006,Majesco Entertainment Company,Strategy,1,0,13.95,40,1,0,0,Strategy|MentalTraining,E
Nintendo DS,Monster House,0.15,2006,THQ,Action,0,0,14.95,62,1,0,0,Action|Shooter|TopDown,E
X360,Enchanted Arms,0.15,2006,Ubisoft,Role-Playing (RPG),0,0,17.95,69,1,1,1,RPG|MedievalFantasy|Puzzle|TurnBased|ThirdPerson,T
Sony PSP,NHL 07,0.14,2006,EA,Sports,1,0,12.95,76,4,0,1,Sports|Hockey|ThirdPerson,Unknown
Sony PSP,Bust-a-Move Deluxe,0.14,2006,"505 GameStreet, Digital Bros. S.p.A., Majesco Entertainment Company, Taito Corporation",Strategy,1,0,14.95,73,2,1,0,Strategy|Puzzle|RealTime|ThirdPerson,E
PlayStation 3,Full Auto 2: Battlelines,0.14,2006,Sega,"Action, Racing / Driving",1,0,14.95,67,2,1,1,Action|Racing|Shooter|ThirdPerson,T
X360,Blitz: The League,0.14,2006,Midway,Sports,0,0,14.95,69,2,1,0,Sports|AmericanFootball|TopDown,M
X360,Star Trek Legacy,0.14,2006,Ubisoft,"Action, Strategy",0,0,24.95,64,2,1,0,Action|Strategy|RealTime|SciFi|ThirdPerson,Unknown
Nintendo DS,Eragon,0.14,2006,"Sierra Entertainment, Inc., Vivendi Universal Games, Inc.","Action, Role-Playing (RPG)",0,0,16.95,63,1,0,1,Action|RPG|MedievalFantasy|RealTime|FirstPerson|ThirdPerson,T
Nintendo DS,Master of Illusion,0.14,2006,Nintendo,Strategy,0,0,14.95,69,1,0,0,Strategy|Boardgame|Cards|Puzzle|TopDown,E
Nintendo DS,Mega Man ZX,0.14,2006,Capcom,Action,1,0,19.95,76,1,0,0,Action|Anime|Puzzle|SciFi|Shooter|Platform|SideScrolling|ThirdPerson,E
Sony PSP,Untold Legends: The Warrior's Code,0.14,2006,Sony,"Action, Role-Playing (RPG)",1,0,14.95,65,1,1,0,Action|RPG|MedievalFantasy|TopDown|ThirdPerson,T
Nintendo Wii,Super Swing Golf,0.14,2006,"Tecmo, Inc.",Sports,0,0,16.95,72,1,0,0,Sports|Anime|Golf|ThirdPerson,Unknown
X360,World Series of Poker: Tournament of Champions,0.14,2006,Activision,Sports,0,0,14.95,69,1,1,1,Sports|Cards|Casino,T
X360,X-Men: The Official Game,0.14,2006,Activision,Action,0,0,14.95,52,1,0,1,Action|Comics|Fighting|Flight|SciFi|Shooter|ThirdPerson,T
PlayStation 3,Untold Legends: Dark Kingdom,0.13,2006,EA,"Action, Role-Playing (RPG)",1,0,16.95,58,2,1,0,Action|RPG|MedievalFantasy|ThirdPerson,T
Nintendo Wii,Happy Feet,0.13,2006,Midway,Action,0,0,14.95,46,2,0,1,Action|Puzzle|RhythmAction|ThirdPerson,E
Nintendo DS,Open Season,0.13,2006,Ubisoft,Action,0,0,17.95,72,1,0,1,Action|Puzzle|Platform|SideScrolling|ThirdPerson,E
Sony PSP,Dungeon Siege: Throne of Agony,0.13,2006,2K,Role-Playing (RPG),1,0,24.95,74,1,0,0,RPG|MedievalFantasy|RealTime|Isometric,T
Sony PSP,LocoRoco,0.13,2006,Sony,"Action, Strategy",0,0,17.95,83,1,1,0,Action|Strategy|Puzzle|Platform|SideScrolling|ThirdPerson,E
X360,Dead or Alive: Xtreme 2,0.13,2006,"Tecmo, Inc., Tecmo, Ltd.","Racing / Driving, Sports",1,0,14.95,53,1,1,0,Racing|Sports|Adult|Casino|Sailing|Volleyball|FirstPerson|ThirdPerson,T
X360,Fuzion Frenzy 2,0.12,2006,Microsoft,"Action, Sports",1,0,14.95,49,4,1,0,Action|Sports|Arcade|Boardgame|SciFi|Pool|Skateboarding|Tricks|Isometric,Unknown
X360,MotoGP '06,0.12,2006,THQ,"Racing / Driving, Simulation, Sports",1,0,14.95,80,4,1,0,Racing|Simulation|Sports|Motorcycle|FirstPerson|ThirdPerson,E
Sony PSP,Lumines II,0.12,2006,"Buena Vista Games, Inc.",Strategy,1,0,14.95,81,2,1,0,Strategy|Puzzle|RhythmAction,Unknown
Nintendo DS,Tamagotchi Connexion: Corner Shop,0.12,2006,Namco,Simulation,0,0,15.95,59,1,0,0,Simulation|Anime|Puzzle|RhythmAction|ThirdPerson,E
Sony PSP,Major League Baseball 2K6,0.12,2006,2K,Sports,1,0,4.95,69,1,0,1,Sports|Baseball|FirstPerson|ThirdPerson,E
Sony PSP,Star Wars: Lethal Alliance,0.12,2006,Ubisoft,Action,1,0,17.95,61,1,1,0,Action|Puzzle|SciFi|Shooter|Stealth|FirstPerson|ThirdPerson,T
Sony PSP,Worms: Open Warfare,0.12,2006,THQ,"Action, Strategy",0,0,17.95,70,1,1,1,Action|Strategy|SideScrolling,Unknown
Sony PSP,Eragon,0.11,2006,"Sierra Entertainment, Inc., Vivendi Universal Games, Inc.",Action,0,0,14.95,59,4,1,1,Action|MedievalFantasy|RealTime|ThirdPerson,T
