Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,Review Score,MaxPlayers,Online,Multiplatform,SubGenres,AgeRating
Sony PSP,Avatar: The Last Airbender,0.11,2006,THQ,Action,0,0,17.95,57,1,0,1,Action|Anime|Fighting|MedievalFantasy|Puzzle|TopDown,Unknown
Sony PSP,FIFA World Cup: Germany 2006,0.11,2006,EA,Sports,1,0,17.95,72,1,1,1,Sports|Soccer|Isometric|TopDown|ThirdPerson,E
Sony PSP,Lemmings,0.11,2006,Sony,Strategy,0,1,17.95,76,1,0,0,Strategy|Puzzle|RealTime|SideScrolling,E
Sony PSP,Mega Man Powered Up,0.11,2006,Capcom,Action,0,1,16.95,82,1,0,0,Action|Shooter|SideScrolling,E
X360,College Hoops 2K6,0.11,2006,2K,Sports,1,0,6.95,70,1,0,1,Sports|Basketball|ThirdPerson,E
X360,Dynasty Warriors 5: Empires,0.1,2006,"KOEI Co., Ltd.","Action, Role-Playing (RPG), Strategy",1,0,14.95,61,2,0,1,Action|RPG|Strategy|Fighting|HistoricalBattle|Managerial|MedievalFantasy|RealTime|TurnBased|FirstPerson|ThirdPerson,T
Nintendo DS,Magical Starsign,0.1,2006,Nintendo,Role-Playing (RPG),0,0,9.95,69,1,0,0,RPG|MedievalFantasy|Puzzle|SciFi|ThirdPerson,E
Nintendo DS,Resident Evil: Deadly Silence,0.1,2006,Capcom,Action,0,1,17.95,71,1,0,0,Action|SurvivalHorror|FirstPerson|ThirdPerson,M
Nintendo DS,X-Men: The Official Game,0.1,2006,Activision,Action,0,0,14.95,50,1,0,1,Action|Comics|Fighting|Flight|SciFi|Shooter|TopDown|ThirdPerson,Unknown
Sony PSP,NBA Ballers: Rebound,0.1,2006,Midway,"Action, Sports",1,0,14.95,69,1,0,0,Action|Sports|Arcade|Basketball|ThirdPerson,E
Sony PSP,World Series of Poker: Tournament of Champions,0.1,2006,Activision,Sports,1,0,16.95,70,1,1,1,Sports|Cards|Casino,T
X360,Cabela's African Safari,0.1,2006,Activision,Sports,1,0,17.95,53,1,0,0,Sports|Hunting|FirstPerson|ThirdPerson,T
X360,Cabela's Alaskan Adventures,0.1,2006,Activision,Sports,1,0,17.95,48,1,0,0,Sports|Fishing|Hunting|FirstPerson|ThirdPerson,T
PlayStation 3,Armored Core 4,0.09,2006,Sega,Action,1,0,19.95,65,2,1,1,Action|Battlemech|SciFi|Shooter|FirstPerson|ThirdPerson,T
X360,Eragon,0.09,2006,"Sierra Entertainment, Inc., Vivendi Games",Action,0,0,12.95,48,2,0,1,Action|MedievalFantasy|RealTime|ThirdPerson,T
Nintendo DS,LostMagic,0.09,2006,Ubisoft,"Action, Role-Playing (RPG)",0,0,14.95,68,1,1,0,Action|RPG|Anime|MedievalFantasy|RealTime|TopDown,E
Nintendo DS,Magnetica,0.09,2006,Nintendo,"Action, Strategy",0,0,17.95,68,1,0,0,Action|Strategy|Puzzle|TopDown,E
Sony PSP,Def Jam Fight for NY: The Takeover,0.09,2006,EA,Action,1,0,17.95,79,1,0,0,Action|Fighting|SideScrolling,M
Sony PSP,NASCAR 07,0.09,2006,EA,"Racing / Driving, Simulation",1,0,24.95,66,1,0,1,Racing|Simulation|FirstPerson|ThirdPerson,E
Nintendo Wii,The Ant Bully,0.09,2006,Midway,Action,0,0,16.95,45,1,0,1,Action|ThirdPerson,Unknown
X360,Just Cause,0.09,2006,Eidos,"Action, Racing / Driving",0,0,16.95,73,1,0,1,Action|Racing|Helicoptor|Shooter|Spy,M
X360,Onechanbara: Bikini Samurai Squad,0.09,2006,"D3Publisher Inc., D3Publisher of America, Inc., D3Publisher of Europe Ltd.",Action,0,0,19.95,39,1,0,0,Action|MartialArts|MedievalFantasy|Shooter|SurvivalHorror|ThirdPerson,M
X360,Phantasy Star Universe,0.09,2006,Sega,Role-Playing (RPG),1,0,24.95,64,1,1,1,RPG|Anime|PersistentUniverse|SciFi|ThirdPerson,T
X360,Project Sylpheed: Arc of Deception,0.09,2006,Microsoft,Action,0,0,14.95,64,1,0,0,Action|Arcade|SciFi|Shooter|ThirdPerson,T
X360,Winning Eleven: Pro Evolution Soccer 2007,0.08,2006,Konami,Sports,1,0,11.95,80,6,1,1,Sports|Soccer|Isometric|TopDown,E
Nintendo Wii,Kororinpa: Marble Mania,0.08,2006,Nintendo,"Action, Strategy",0,0,17.95,69,2,0,0,Action|Strategy|Puzzle|ThirdPerson,E
Nintendo DS,Charlotte's Web,0.08,2006,Sega,Action,0,0,14.95,60,1,0,0,Action|Puzzle|Platform,E
Nintendo DS,Digimon World DS,0.08,2006,Namco,Role-Playing (RPG),0,0,27.95,49,1,0,0,RPG|Anime|Isometric,Unknown
Nintendo DS,Justice League Heroes,0.08,2006,Warner Bros. Interactive Entertainment Inc.,Action,0,0,17.95,43,1,0,1,Action|Comics|Fighting|SciFi|TopDown|ThirdPerson,Unknown
Sony PSP,Innocent Life: A Futuristic Harvest Moon,0.08,2006,"Marvelous Interactive, Inc., Natsume, Inc., Rising Star Games Ltd.","Role-Playing (RPG), Simulation, Strategy",1,0,17.95,67,1,0,0,RPG|Simulation|Strategy|RealTime|ThirdPerson,E
Sony PSP,Power Stone Collection,0.08,2006,Capcom,Action,0,1,14.95,74,1,1,0,Action|Fighting|ThirdPerson,T
Sony PSP,EA Replay,0.07,2006,EA,"Action, Role-Playing (RPG), Simulation, Sports, Strategy",0,1,14.95,56,4,1,0,Action|RPG|Simulation|Sports|Strategy|Arcade|Cyberpunk|Flight|Helicoptor|MartialArts|MedievalFantasy|Pinball|RealTime|SciFi|Shooter|TurnBased|AmericanFootball|Motorcycle|FirstPerson|Platform|Isometric|TopDown|ThirdPerson,T
Nintendo Wii,Open Season,0.07,2006,Ubisoft,Action,0,0,17.95,49,4,0,1,Action|Puzzle|ThirdPerson,Unknown
X360,Samurai Warriors 2,0.07,2006,"KOEI Corporation, KOEI Ltd.",Action,1,0,14.95,52,4,1,1,Action|HistoricalBattle|MartialArts|MedievalFantasy|ThirdPerson,T
Nintendo Wii,Disney/Pixar Cars,0.07,2006,THQ,"Action, Racing / Driving",0,0,17.95,65,2,0,1,Action|Racing|FirstPerson|ThirdPerson,E
Nintendo Wii,Far Cry: Vengeance,0.07,2006,Ubisoft,Action,1,0,16.95,38,2,0,0,Action|SciFi|Shooter|FirstPerson,M
X360,Import Tuner Challenge,0.07,2006,Ubisoft,Racing / Driving,0,0,17.95,54,2,1,0,Racing|FirstPerson|ThirdPerson,E
Nintendo DS,Contact,0.07,2006,"Atlus U.S.A., Inc., Marvelous Interactive, Inc., Rising Star Games Ltd.","Adventure, Role-Playing (RPG)",0,0,14.95,73,1,1,0,Adventure|RPG|Anime|SciFi|Isometric|TopDown|ThirdPerson,Unknown
Nintendo DS,Finding Nemo: Escape to the Big Blue,0.07,2006,THQ,"Action, Racing / Driving",0,0,17.95,66,1,0,1,Action|Racing|Arcade|Puzzle|SideScrolling|TopDown|ThirdPerson,E
Nintendo DS,Touch Detective,0.07,2006,"505 GameStreet, Atlus U.S.A., Inc., Success Corp.",Adventure,0,0,14.95,60,1,0,0,Adventure|Anime|Detective|Puzzle|ThirdPerson,Unknown
Sony PSP,FIFA Street 2,0.07,2006,EA,Sports,1,0,17.95,58,1,1,1,Sports|Soccer|Tricks|ThirdPerson,E
Sony PSP,007: From Russia with Love,0.07,2006,EA,"Action, Racing / Driving",1,0,17.95,61,1,0,0,Action|Racing,T
Sony PSP,PaRappa the Rapper,0.07,2006,Sony,Action,0,1,12.95,67,1,1,0,Action|RhythmAction|ThirdPerson,E
Sony PSP,Riviera: The Promised Land,0.07,2006,"505 Games S.R.L., Atlus U.S.A., Inc., Sting, Inc.",Role-Playing (RPG),0,0,17.95,68,1,0,0,RPG|Anime|MedievalFantasy|TurnBased|Isometric,T
Sony PSP,Samurai Warriors: State of War,0.07,2006,"KOEI Corporation, KOEI Ltd.",Action,0,0,17.95,64,1,1,0,Action|Arcade|Fighting|HistoricalBattle|ThirdPerson,T
Sony PSP,Viewtiful Joe: Red Hot Rumble,0.07,2006,Capcom,Action,1,0,14.95,63,1,0,1,Action|Arcade|Fighting|ThirdPerson,T
Nintendo Wii,Ice Age 2: The Meltdown,0.07,2006,"Sierra Entertainment, Inc.",Action,1,0,17.95,66,1,0,0,Action|Puzzle|ThirdPerson,Unknown
X360,Rumble Roses XX,0.06,2006,Konami,"Action, Sports",1,0,17.95,62,4,1,0,Action|Sports|Fighting|Wrestling|ThirdPerson,M
Nintendo DS,Bionicle Heroes,0.06,2006,Eidos,Action,0,0,16.95,72,1,0,1,Action|SciFi|Shooter|FirstPerson,Unknown
Nintendo DS,Deep Labyrinth,0.06,2006,"505 GameStreet, Atlus U.S.A., Inc., Interactive Brains",Role-Playing (RPG),0,0,10.95,57,1,0,0,RPG|Anime|MedievalFantasy|Puzzle|FirstPerson,Unknown
Sony PSP,Blade Dancer: Lineage of Light,0.06,2006,"Ignition Entertainment Ltd., NIS America, Inc., SCEI",Role-Playing (RPG),0,0,16.95,60,1,1,0,RPG|Anime|RealTime|TurnBased|ThirdPerson,Unknown
Sony PSP,Every Extend Extra,0.06,2006,"Buena Vista Games, Inc.",Action,0,0,11.95,74,1,1,0,Action|Arcade|Puzzle|RhythmAction|TopDown,E
Sony PSP,Ultimate Ghosts 'N' Goblins,0.06,2006,Capcom,Action,0,1,17.95,72,1,0,0,Action,Unknown
Sony PSP,Xiaolin Showdown,0.06,2006,Konami,Action,0,0,14.95,44,1,0,1,Action|Anime|Fighting|ThirdPerson,Unknown
X360,Bionicle Heroes,0.06,2006,Eidos,Action,0,0,14.95,59,1,0,1,Action|SciFi|Shooter|ThirdPerson,Unknown
X360,Bullet Witch,0.06,2006,Atari,Action,0,0,16.95,55,1,0,0,Action|MedievalFantasy|PostApocalyptic|SciFi|Shooter|ThirdPerson,M
Sony PSP,Activision Hits Remixed,0.05,2006,Activision,"Action, Racing / Driving, Simulation, Sports, Strategy",0,1,17.95,75,4,1,0,Action|Racing|Simulation|Sports|Strategy|Arcade|Boardgame|Cards|Detective|Flight|SciFi|Shooter|Tank|Boxing|Fishing|Hockey|Horse|Snowboarding|Tennis|FirstPerson|Platform|SideScrolling|TopDown|ThirdPerson,E
Sony PSP,Death Jr. II: Root of Evil,0.05,2006,Konami,Action,1,0,14.95,68,2,1,1,Action|ThirdPerson,T
Nintendo DS,Alex Rider: Stormbreaker,0.05,2006,THQ,"Action, Adventure",0,0,12.95,48,1,0,1,Action|Adventure|RealTime|Spy|Stealth|ThirdPerson,T
Nintendo DS,Cartoon Network Racing,0.05,2006,The Game Factory ApS,Racing / Driving,0,0,14.95,55,1,0,0,Racing|Arcade|ThirdPerson,E
Nintendo DS,Guilty Gear: Dust Strikers,0.05,2006,Majesco Entertainment Company,Action,1,0,14.95,60,1,0,0,Action|Anime|Arcade|Fighting|MartialArts|SideScrolling,T
Nintendo DS,Gunpey DS,0.05,2006,Namco,Strategy,0,0,12.95,70,1,0,0,Strategy|Anime|Puzzle|RhythmAction,E
Nintendo DS,March of the Penguins,0.05,2006,"Destination Software, Inc., ZOO Digital Publishing Ltd","Action, Educational, Strategy",0,0,7.95,34,1,0,1,Action|Educational|Strategy|Ecology|SideScrolling|TopDown|ThirdPerson,E
Nintendo DS,Lara Croft Tomb Raider: Legend,0.05,2006,Eidos,"Action, Racing / Driving",1,0,17.95,58,1,0,1,Action|Racing|Puzzle|Shooter|FirstPerson|Platform|SideScrolling,T
Nintendo DS,Worms: Open Warfare,0.05,2006,THQ,"Action, Strategy",1,0,17.95,64,1,0,1,Action|Strategy|SideScrolling,Unknown
Sony PSP,Mercury Meltdown,0.05,2006,"Ignition Entertainment Ltd., Ignition Entertainment Ltd. USA, SCEI",Strategy,0,0,12.95,78,1,1,1,Strategy|Puzzle|ThirdPerson,E
Sony PSP,MTX Mototrax,0.05,2006,Activision,"Racing / Driving, Sports",0,0,19.95,67,1,1,1,Racing|Sports|Motorcycle|Tricks|ThirdPerson,E
Sony PSP,Snoopy vs. the Red Baron,0.05,2006,Namco,Action,0,0,17.95,76,1,0,1,Action|Flight|Shooter|ThirdPerson,E
Sony PSP,Super Monkey Ball Adventure,0.05,2006,Sega,"Action, Racing / Driving",1,0,24.95,56,1,1,1,Action|Racing|Arcade|Puzzle|Platform|ThirdPerson,E
Sony PSP,Ys VI: The Ark of Napishtim,0.05,2006,Konami,"Action, Role-Playing (RPG)",1,0,16.95,64,1,0,0,Action|RPG|Anime|ThirdPerson,T
Nintendo Wii,World Series of Poker: Tournament of Champions,0.05,2006,Activision,Sports,0,0,24.95,46,1,0,0,Sports|Cards|Casino,T
Nintendo DS,Bomberman Land Touch!,0.04,2006,"Atlus U.S.A., Inc., Hudson Soft Company, Ltd., Rising Star Games Ltd.",Action,1,0,24.95,78,1,1,0,Action|MentalTraining|Puzzle|Isometric,E
Nintendo DS,Lionel Trains on Track,0.04,2006,"Destination Software, Inc., ZOO Digital Publishing Ltd","Simulation, Strategy",0,0,13.95,47,1,0,0,Simulation|Strategy|Managerial|Train|TopDown,E
Nintendo DS,Point Blank DS,0.04,2006,Atari,Action,0,1,17.95,66,1,0,0,Action|Arcade|Shooter|FirstPerson,Unknown
Nintendo DS,Scurge: Hive,0.04,2006,"SouthPeak Interactive, LLC",Action,0,0,8.95,70,1,0,1,Action|SciFi|Shooter|Isometric|TopDown|ThirdPerson,Unknown
Nintendo DS,Star Trek: Tactical Assault,0.04,2006,Ubisoft,"Action, Strategy",0,0,17.95,63,1,0,1,Action|Strategy|RealTime|SciFi|ThirdPerson,E
Nintendo DS,Tao's Adventure: Curse of the Demon Seal,0.04,2006,Konami,Role-Playing (RPG),0,0,14.95,50,1,0,0,RPG|MedievalFantasy|TurnBased|ThirdPerson,Unknown
Sony PSP,Ford Bold Moves Street Racing,0.04,2006,Eidos,Racing / Driving,1,0,17.95,52,1,1,0,Racing|FirstPerson|ThirdPerson,E
Sony PSP,Gitaroo Man Lives!,0.04,2006,"KOEI Co., Ltd., KOEI Corporation",Simulation,1,0,22.95,80,1,1,0,Simulation|Anime|RhythmAction|ThirdPerson,E
Sony PSP,Gradius Collection,0.04,2006,Konami,Action,0,1,17.95,76,1,0,0,Action|Arcade|SciFi|Shooter|SideScrolling,E
Sony PSP,The Legend of Heroes II: Prophecy of the Moonli...,0.04,2006,Namco,Role-Playing (RPG),1,0,17.95,63,1,0,0,RPG|MedievalFantasy,Unknown
Sony PSP,Pac-Man World Rally,0.04,2006,Namco,"Action, Racing / Driving",0,0,17.95,51,1,0,1,Action|Racing|ThirdPerson,E
X360,Bomberman: Act Zero,0.04,2006,Konami,Action,1,0,12.95,34,1,0,0,Action|Arcade|Cyberpunk|TopDown|ThirdPerson,T
Sony PSP,Taito Legends: Power-Up,0.03,2006,Xplosiv,Action,0,1,16.95,61,2,1,0,Action|Anime|Arcade|MartialArts|SciFi|Shooter|Platform|SideScrolling|TopDown|ThirdPerson,E
Nintendo Wii,Wing Island,0.03,2006,Konami,Simulation,0,0,19.95,47,2,0,0,Simulation|Flight|ThirdPerson,E
X360,Earth Defense Force 2017,0.03,2006,"D3Publisher Inc., D3Publisher of America, Inc., D3Publisher of Europe Ltd.",Action,0,0,17.95,69,2,0,0,Action|Battlemech|Helicoptor|SciFi|Shooter|ThirdPerson,T
X360,WarTech: Senko no Ronde,0.03,2006,Ubisoft,Action,0,0,12.95,60,2,1,0,Action|Arcade|Battlemech|SciFi|Shooter|TopDown|ThirdPerson,T
Nintendo DS,MechAssault: Phantom War,0.03,2006,Majesco Entertainment Company,Action,1,0,12.95,66,1,0,0,Action|Battlemech|ThirdPerson,T
Sony PSP,Astonishia Story,0.03,2006,Ubisoft,"Role-Playing (RPG), Strategy",0,0,16.95,48,1,0,0,RPG|Strategy|Anime|MedievalFantasy|TurnBased|TopDown,Unknown
Sony PSP,B-Boy,0.03,2006,Sony,Action,0,0,17.95,50,1,0,1,Action|RhythmAction|ThirdPerson,T
Sony PSP,BattleZone,0.03,2006,Atari,Action,0,0,14.95,57,1,1,0,Action|Arcade|SciFi|Shooter|FirstPerson|ThirdPerson,Unknown
Sony PSP,Bounty Hounds,0.03,2006,Namco,"Action, Strategy",0,0,17.95,63,1,1,0,Action|Strategy|RealTime|SciFi|Shooter|ThirdPerson,T
Sony PSP,Bubble Bobble Evolution,0.03,2006,"Codemasters, Rising Star Games Ltd.",Action,0,1,12.95,47,1,0,0,Action|Puzzle|Platform,E
Sony PSP,MotoGP,0.03,2006,Sony,"Racing / Driving, Sports",0,0,32.95,69,1,0,1,Racing|Sports|Motorcycle|FirstPerson|ThirdPerson,E
Sony PSP,OutRun 2006: Coast 2 Coast,0.03,2006,Sega,Racing / Driving,1,0,17.95,82,1,1,1,Racing|Arcade|ThirdPerson,E
Sony PSP,Stacked with Daniel Negreanu,0.03,2006,"Myelin Media, LLC",Strategy,0,0,16.95,63,1,0,1,Strategy|Cards|Casino|TurnBased|TopDown|ThirdPerson,T
Sony PSP,Street Supremacy,0.03,2006,Konami,Racing / Driving,0,0,7.95,41,1,0,0,Racing|Arcade|ThirdPerson,E
Sony PSP,Warhammer: Battle for Atluma,0.03,2006,Namco,Strategy,0,0,17.95,55,1,1,0,Strategy|Cards|TurnBased|FirstPerson,T
Sony PSP,Online Chess Kingdoms,0.02,2006,Konami,Strategy,0,0,12.95,60,2,1,0,Strategy|Chess|ThirdPerson,E
Nintendo DS,Freedom Wings,0.02,2006,"Natsume, Inc.","Action, Simulation",0,0,14.95,46,1,0,0,Action|Simulation|Flight|Shooter|ThirdPerson,Unknown
Nintendo DS,Konductra,0.02,2006,O~3 Entertainment,Strategy,0,0,19.95,60,1,0,0,Strategy|Puzzle|RealTime|TopDown,E
Nintendo DS,SBK: Snowboard Kids,0.02,2006,"Atlus U.S.A., Inc.","Action, Sports",0,0,19.95,63,1,0,0,Action|Sports|Arcade|Snowboarding|ThirdPerson,E
Nintendo DS,Tenchu: Dark Secret,0.02,2006,Nintendo,Action,1,0,14.95,37,1,0,0,Action|Fighting|MartialArts|Stealth|TopDown|ThirdPerson,T
Sony PSP,Dungeon Maker: Hunting Ground,0.02,2006,"Taito Corporation, XSEED Games","Action, Role-Playing (RPG)",0,0,14.95,70,1,0,0,Action|RPG|MedievalFantasy|ThirdPerson,Unknown
Sony PSP,Metal Gear Solid: Digital Graphic Novel,0.02,2006,Konami,Adventure,0,0,17.95,78,1,0,0,Adventure|Comics|Spy,Unknown
Sony PSP,Payout Poker & Casino,0.02,2006,Namco,Sports,0,0,17.95,54,1,0,0,Sports|Cards|FirstPerson|ThirdPerson,T
Sony PSP,Rengoku 2: Stairway to H.E.A.V.E.N.,0.02,2006,Konami,Action,1,0,9.95,51,1,0,0,Action,T
Sony PSP,Star Trek: Tactical Assault,0.02,2006,Ubisoft,"Action, Strategy",0,0,17.95,64,1,1,1,Action|Strategy|RealTime|SciFi|ThirdPerson,E
Sony PSP,Micro Machines V4,0.01,2006,"Codemasters GmbH, Codemasters Software Company Limited, The","Action, Racing / Driving",1,0,17.95,61,2,1,1,Action|Racing|Arcade|TopDown|ThirdPerson,E
Sony PSP,Platypus,0.01,2006,"MumboJumbo, LLC",Action,0,0,14.95,59,2,1,0,Action|Arcade|SciFi|Shooter|SideScrolling|ThirdPerson,E
Nintendo DS,Custom Robo Arena,0.01,2006,Nintendo,"Action, Role-Playing (RPG)",1,0,17.95,74,1,1,0,Action|RPG|SciFi|ThirdPerson,Unknown
Nintendo DS,Monster Bomber,0.01,2006,Majesco Entertainment Company,"Action, Strategy",0,0,13.95,55,1,0,0,Action|Strategy|Puzzle|RealTime|SciFi|ThirdPerson,E
Sony PSP,Gurumin: A Monstrous Adventure,0.01,2006,"Mastiff, LLC, Nihon Falcom Corp.",Action,0,0,13.95,78,1,0,0,Action|Platform|ThirdPerson,Unknown
Sony PSP,Pocket Racers,0.01,2006,Konami,"Action, Racing / Driving",0,0,12.95,39,1,0,0,Action|Racing|ThirdPerson,E
Sony PSP,Spider-Man 3,0.01,2006,Ubisoft,Action,1,0,6.95,58,1,0,0,Action|Comics|Fighting|Puzzle|RealTime|ThirdPerson,M
Nintendo Wii,Wii Fit,9.6,2007,Nintendo,"Educational, Sports",0,0,24.95,80,1,0,0,Educational|Sports|Health|ThirdPerson,E
X360,Halo 3,8.03,2007,Microsoft,Action,1,0,24.95,94,4,1,0,Action|Flight|SciFi|Shooter|FirstPerson|ThirdPerson,M
X360,Call of Duty 4: Modern Warfare,5.77,2007,Activision,Action,1,0,29.95,94,4,1,1,Action|Shooter|FirstPerson,M
Nintendo Wii,Super Mario Galaxy,4.94,2007,Nintendo,Action,1,0,39.95,97,2,0,0,Action|Puzzle|SciFi|Platform|ThirdPerson,E
Nintendo DS,Mario Party DS,4.34,2007,Nintendo,"Action, Strategy",1,0,27.95,72,1,0,0,Action|Strategy|Boardgame|TurnBased|Platform|ThirdPerson,E
Nintendo Wii,Mario Party 8,3.84,2007,Nintendo,"Action, Strategy",1,0,39.95,62,4,0,0,Action|Strategy|Boardgame|FirstPerson|ThirdPerson,E
X360,Guitar Hero III: Legends of Rock,3.28,2007,Activision,"Action, Simulation",1,0,12.95,85,2,1,1,Action|Simulation|RhythmAction|ThirdPerson,T
Nintendo Wii,Link's Crossbow Training,3.2,2007,Nintendo,Action,0,0,14.95,68,1,0,0,Action|MedievalFantasy|Shooter|ThirdPerson,T
Nintendo Wii,Guitar Hero III: Legends of Rock,3.19,2007,Activision,"Action, Simulation",1,0,49.95,86,2,1,1,Action|Simulation|RhythmAction|ThirdPerson,T
X360,Assassin's Creed,3.17,2007,Ubisoft,Action,0,0,16.95,81,1,0,1,Action|Fighting|MedievalFantasy|Stealth|FirstPerson|ThirdPerson,T
Nintendo Wii,LEGO Star Wars: The Complete Saga,3.03,2007,LucasArts,Action,1,0,17.95,80,2,0,1,Action|Fighting|Flight|Puzzle|SciFi|Shooter|Platform|ThirdPerson,Unknown
PlayStation 3,Call of Duty 4: Modern Warfare,2.91,2007,Activision,Action,1,0,24.95,94,4,1,1,Action|Shooter|FirstPerson,M
Nintendo Wii,Mario & Sonic at the Olympic Games,2.74,2007,Nintendo,"Action, Sports",0,0,29.95,67,4,0,1,Action|Sports|Arcade|Olympiad|PingPong|ThirdPerson,E
Nintendo DS,LEGO Star Wars: The Complete Saga,2.66,2007,"ak tronic Software & Services GmbH, LucasArts","Action, Racing / Driving",1,0,17.95,80,1,0,1,Action|Racing|Fighting|Flight|Puzzle|SciFi|Shooter|TopDown|ThirdPerson,E
X360,Forza Motorsport 2,2.48,2007,Microsoft,Racing / Driving,1,0,12.95,90,2,1,0,Racing|FirstPerson|ThirdPerson,E
X360,Madden NFL 08,2.32,2007,EA,Sports,1,0,9.95,85,4,1,1,Sports|AmericanFootball|TopDown|ThirdPerson,E
X360,Guitar Hero II,2.04,2007,Activision,"Action, Simulation",1,0,17.95,92,2,0,1,Action|Simulation|RhythmAction|ThirdPerson,T
X360,Rock Band,2.02,2007,MTV Games,"Action, Simulation",0,0,14.95,92,4,1,1,Action|Simulation|RhythmAction|ThirdPerson,T
Nintendo DS,The Legend of Zelda: Phantom Hourglass,1.92,2007,Nintendo,Action,1,0,24.95,90,1,1,0,Action|MedievalFantasy|Puzzle|Fishing|Sailing|TopDown|ThirdPerson,E
Nintendo DS,Pokemon Mystery Dungeon: Explorers of Darkness,1.91,2007,Nintendo,Role-Playing (RPG),1,0,15.95,59,1,0,0,RPG|MedievalFantasy|TurnBased|TopDown|ThirdPerson,E
Nintendo DS,Pokemon Mystery Dungeon: Explorers of Time,1.91,2007,Nintendo,Role-Playing (RPG),1,0,24.95,59,1,1,0,RPG|MedievalFantasy|TurnBased|TopDown|ThirdPerson,E
PlayStation 3,Assassin's Creed,1.77,2007,Ubisoft,Action,0,0,17.95,81,1,0,1,Action|Fighting|MedievalFantasy|Stealth|FirstPerson|ThirdPerson,M
PlayStation 3,Uncharted: Drake's Fortune,1.76,2007,Sony,Action,0,0,24.95,88,1,0,0,Action|Fighting|Puzzle|Shooter|ThirdPerson,T
X360,Mass Effect,1.57,2007,Microsoft,"Action, Role-Playing (RPG)",0,0,17.95,91,1,0,0,Action|RPG|SciFi|ThirdPerson,M
Nintendo DS,Cooking Mama 2: Dinner with Friends,1.56,2007,"505 GameStreet, 505 Games S.R.L., Majesco Entertainment Company",Simulation,1,0,17.95,70,1,0,0,Simulation|FirstPerson,E
X360,BioShock,1.52,2007,2K,Action,0,0,16.95,96,1,0,1,Action|SciFi|Shooter|FirstPerson,M
Nintendo Wii,Super Paper Mario,1.5,2007,Nintendo,"Action, Role-Playing (RPG)",1,0,29.95,85,1,0,0,Action|RPG|MedievalFantasy|Puzzle|SciFi|Platform|SideScrolling|ThirdPerson,E
Nintendo Wii,Game Party,1.49,2007,Midway,Action,0,0,14.95,25,4,0,0,Action|ThirdPerson,E
Sony PSP,Ratchet & Clank: Size Matters,1.47,2007,Sony,Action,1,0,14.95,85,1,1,1,Action|Shooter|FirstPerson|ThirdPerson,Unknown
Nintendo Wii,Dance Dance Revolution Hottest Party,1.45,2007,Konami,Action,1,0,17.95,73,4,0,0,Action|Arcade|RhythmAction|ThirdPerson,Unknown
PlayStation 3,Guitar Hero III: Legends of Rock,1.43,2007,Activision,"Action, Simulation",1,0,32.95,83,2,0,1,Action|Simulation|RhythmAction|ThirdPerson,T
Nintendo Wii,Cooking Mama: Cook Off,1.38,2007,"505 GameStreet, Majesco Entertainment Company, Taito Corporation",Simulation,1,0,14.95,61,2,0,0,Simulation|FirstPerson,E
PlayStation 3,Gran Turismo 5: Prologue,1.31,2007,Sony,"Racing / Driving, Simulation",1,0,24.95,80,2,1,0,Racing|Simulation|FirstPerson|ThirdPerson,E
Nintendo DS,Professor Layton and the Curious Village,1.26,2007,Nintendo,"Adventure, Educational, Strategy",0,0,23.95,85,1,0,0,Adventure|Educational|Strategy|Puzzle|Maths|FirstPerson|ThirdPerson,E
Nintendo Wii,Resident Evil 4,1.24,2007,Capcom,Action,1,1,16.95,91,1,0,0,Action|Puzzle|SurvivalHorror|ThirdPerson,M
PlayStation 3,The Elder Scrolls IV: Oblivion,1.2,2007,Ubisoft,"Action, Role-Playing (RPG)",1,0,17.95,93,1,0,1,Action|RPG|MedievalFantasy|FirstPerson|ThirdPerson,M
Nintendo DS,Transformers: Autobots,1.17,2007,Activision,"Action, Racing / Driving",0,0,17.95,67,1,0,0,Action|Racing|Fighting|ThirdPerson,Unknown
Nintendo DS,Transformers: Decepticons,1.17,2007,Activision,"Action, Racing / Driving",0,0,17.95,66,1,0,0,Action|Racing|Fighting|ThirdPerson,Unknown
Nintendo Wii,High School Musical: Sing It!,1.16,2007,Disney,Action,1,0,19.95,64,6,0,0,Action|RhythmAction|ThirdPerson,E
Nintendo DS,Diddy Kong Racing DS,1.16,2007,Nintendo,"Racing / Driving, Sports",0,0,24.95,63,1,1,0,Racing|Sports|Flight|Puzzle|Shooter|OffRoad|Sailing|FirstPerson|ThirdPerson,E
Nintendo DS,High School Musical: Makin' the Cut,1.13,2007,Disney,Action,0,0,10.95,66,1,0,0,Action|RhythmAction|ThirdPerson,E
Nintendo Wii,Big Brain Academy: Wii Degree,1.1,2007,Nintendo,Action,0,0,19.95,68,8,0,0,Action|MentalTraining|FirstPerson,E
X360,Need for Speed: ProStreet,1.1,2007,EA,Racing / Driving,1,0,16.95,72,2,1,1,Racing|FirstPerson|ThirdPerson,Unknown
Nintendo DS,Deal or No Deal,1.1,2007,"Destination Software, Inc.",Strategy,0,0,11.95,20,1,0,0,Strategy|Gameshow|FirstPerson,E
X360,LEGO Star Wars: The Complete Saga,1.09,2007,LucasArts,Action,1,0,17.95,80,2,1,1,Action|Fighting|Flight|Puzzle|SciFi|Shooter|Platform|ThirdPerson,Unknown
